experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #258,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #258,Neural Network,0.7525967894239849,0.8491216732942447,0.8819722383225471,0.7495219885277247,0.8562351528736516,0.884575199921769,1.0,0.9546067538104236,0.9718277382540884,0.8568306010928962,0.9044141769353308,0.9243165487342596
experiment #258,Decision Tree,0.9423984891406988,0.8619634176434384,0.8781735442283737,0.9581749049429658,0.8190174315810932,0.8401312836096022,0.9642857142857144,0.8161771692292945,0.8443039825080323,0.961220597584234,0.8183230036938599,0.8405048631070536
experiment #259,SVM,0.9792256846081208,0.9744234683281716,0.9851599393117326,0.978643216080402,0.9715361547603196,0.985962441823632,0.9936224489795918,0.9598449868118156,0.9761118073946542,0.9860759493670886,0.9659787344859074,0.9802841350132748
experiment #259,Neural Network,0.9612842304060434,0.977773663075552,0.9863451798819683,0.9959946595460614,0.98142816929737,0.9913603901684164,0.951530612244898,0.986235149016019,0.9929629490370556,0.9732550554468362,0.9851128643322976,0.990840143893427
experiment #259,Decision Tree,0.9811142587346552,0.9718256030799536,0.9828514308395098,0.986005089058524,0.9588316058879428,0.9767686590289494,0.9885204081632653,0.9670435841935168,0.9797184832456376,0.9872611464968152,0.96331167537543,0.9775748257996072
experiment #260,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #260,Neural Network,0.7431539187913125,0.8090529720437658,0.8415915334311426,0.7424242424242424,0.8134004269355032,0.8455507763749813,1.0,0.958333367013552,0.9706443365140458,0.8521739130434782,0.8827575550446757,0.9006621098714901
experiment #260,Decision Tree,0.9707271010387156,0.8410278661728438,0.8560345870140164,0.972396486825596,0.7912825253833292,0.8112455744558832,0.9885204081632653,0.7901791049796931,0.8102379426321153,0.9803921568627452,0.7908605205070951,0.8103952204202067
experiment #261,SVM,0.980169971671388,0.97708686729304,0.9851416164962384,0.979874213836478,0.9734941296570244,0.9850989715986878,0.9936224489795918,0.9639733409643002,0.978137059072545,0.986700443318556,0.9695894820372628,0.9803286213917668
experiment #261,Neural Network,0.9565627950897072,0.9774052757763156,0.9867107138088752,0.9946380697050938,0.9818063476769358,0.9919714416868916,0.9464285714285714,0.9848931668978514,0.9932884176295532,0.9699346405228758,0.984849060469488,0.9910852731844418
experiment #261,Decision Tree,0.9773371104815864,0.9678184979061908,0.9747695107965948,0.9859335038363172,0.9548781444916616,0.967511280932806,0.9834183673469388,0.957755022456122,0.9702053573593082,0.9846743295019156,0.9578154987060692,0.96697717110281
experiment #262,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #262,Neural Network,0.7544853635505193,0.8616941062247669,0.8920612884322934,0.7509578544061303,0.871664398569775,0.8995138666199001,1.0,0.9503938020723368,0.9674125334670834,0.8577680525164114,0.9113134587166551,0.930054422733386
experiment #262,Decision Tree,0.939565627950897,0.8596243393894183,0.8771114026657232,0.9511278195488722,0.8149122429275439,0.8383914333408722,0.9681122448979592,0.817688137786575,0.840970378158945,0.9595448798988622,0.8165653471521436,0.8390141490351842
